Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Renato Veiga,pt POR,"DF,CC",21-225,7,1,181,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,7,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
Mykhailo Mudryk,ua UKR,DL,24-065,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Partidos
Tyrique George,eng ENG,DL,19-035,4,0,74,0.8,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.7,8,2,12,0.00,1.22,1.22,0.00,1.22,0.16,0.75,0.91,0.16,0.91,Partidos
Marc Guiu,es ESP,DL,19-066,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidos
Mathis Amougou,fr FRA,CC,19-052,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Shumaira Mheuka,eng ENG,CC,17-142,1,0,1,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,5.06,0.00,5.06,5.06,5.06,Partidos
Aaron Anselmino,ar ARG,DF,19-316,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Genesis Antwi,se SWE,CC,17-304,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Marcus Bettinelli,eng ENG,PO,32-291,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Cesare Casadei,it ITA,CC,22-060,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Samuel Rak-Sakyi,eng ENG,CC,19-349,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Ishé Samuels-Smith,eng ENG,DF,18-279,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
