Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Szymon Żurkowski,pl POL,CC,27-167,5,0,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
Ismael Konate,ci CIV,"DL,CC",18-347,7,0,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,1,3,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Partidos
Viktor Kovalenko,ua UKR,"CC,DF",29-025,3,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Partidos
Thomas Campaniello,it ITA,DL,17-010,2,0,24,0.3,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,5,0.00,0.00,0.00,0.00,0.00,1.91,0.00,1.91,1.91,1.91,Partidos
Jacopo Bacci,it ITA,CC,19-265,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Francesco Caputo,it ITA,DL,37-217,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Petar Stojanović,si SVN,CC,29-155,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Lorenzo Tosto,it ITA,DF,19-041,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Ank Asmussen,dk DEN,DL,20-013,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Luca Belardinelli,it ITA,CC,23-362,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Dawid Bembnista,pl POL,DF,18-058,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Noah El Biache,be BEL,CC,20-026,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Federico Brancolini,it ITA,PO,23-240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Brayan,br BRA,DL,19-036,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Niccolò Chiorra,it ITA,PO,23-360,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Tyronne Ebuehi,ng NGA,DF,29-085,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Darius Fălcușan,ro ROU,DF,19-025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Gabriele Guarino,it ITA,DF,20-331,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Samuele Perisan,it ITA,PO,27-202,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Bohdan Popov,ua UKR,CC,22-041,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Saba Sazonov,ge GEO,DF,23-038,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Steven Shpendi,al ALB,DL,21-296,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
