Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Stefano Sensi,it ITA,CC,29-218,8,2,211,2.3,1,0,1,0,1,1,0,0,0.9,0.1,0.0,0.1,2,23,4,0.43,0.00,0.43,0.00,0.00,0.37,0.00,0.37,0.04,0.04,Partidos
Keita Baldé,sn SEN,"DL,CC",30-003,4,2,186,2.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,5,5,10,0.48,0.00,0.48,0.48,0.48,0.13,0.02,0.14,0.13,0.14,Partidos
Kevin Martins,it ITA,"CC,DF",20-039,9,1,183,2.0,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,3,6,10,0.00,0.49,0.49,0.00,0.49,0.00,0.19,0.19,0.00,0.19,Partidos
Gaetano Castrovilli,it ITA,"CC,DL",28-022,4,1,145,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,8,6,5,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Partidos
Arvid Brorsson,se SWE,DF,25-307,3,1,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Mirko Marić,hr CRO,"DL,CC",29-299,8,1,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,3,8,0.00,0.00,0.00,0.00,0.00,0.15,0.04,0.19,0.15,0.19,Partidos
Roberto Gagliardini,it ITA,"CC,DF",30-338,4,0,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Partidos
Omari Forson,eng ENG,"CC,DL",20-234,5,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
Mattia Valoti,it ITA,CC,31-186,5,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Alessandro Berretta,it ITA,CC,19-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Davide Bettella,it ITA,DF,24-338,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Davide Bifulco,it ITA,PO,19-066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Leonardo Colombo,it ITA,CC,19-280,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Marco D'Alessandro,it ITA,"DF,DL",34-022,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Andrea Mazza,it ITA,PO,20-357,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Nicolò Postiglione,it ITA,DF,19-329,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Endris Scaramelli,it ITA,CC,18-173,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Alessandro Sorrentino,it ITA,PO,22-342,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Andrea Vailati,it ITA,PO,17-219,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
