Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Germán Valera,es ESP,CC,22-360,8,1,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,2,10,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Partidos
Maximiliano Caufriez,be BEL,DF,28-023,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Mouctar Diakhaby,gn GUI,DF,28-082,4,1,76,0.8,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,1,0,1.18,0.00,1.18,1.18,1.18,0.58,0.02,0.59,0.58,0.59,Partidos
Rodrigo Abajas,es ESP,DF,21-303,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Partidos
Martín Tejón,es ESP,"CC,DF",20-333,4,0,49,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,6,0.00,0.00,0.00,0.00,0.00,0.16,0.05,0.21,0.16,0.21,Partidos
Max Aarons,eng ENG,CC,25-066,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Iker Córdoba,es ESP,DF,19-120,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.00,0.45,Partidos
David Otorbi,es ESP,CC,17-146,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Alberto Marí,es ESP,DL,23-243,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Vicent Abril Sanz,es ESP,PO,20-024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Pedro Alemañ,es ESP,CC,22-355,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Jaume Doménech,es ESP,PO,34-126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Raúl Jiménez,es ESP,PO,19-023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Ruben Lendinez,es ESP,DF,21-362,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Warren Madrigal,cr CRC,CC,20-230,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Cenk Özkacar,tr TUR,DF,24-156,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
