Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Andreas Christensen,dk DEN,DF,28-335,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Ander Astralaga,es ESP,PO,21-008,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Álvaro Cortés,es ESP,DF,19-298,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Andres Cuenca,es ESP,DF,17-273,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Noah Darvich,de GER,CC,18-167,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Guillermo Fernandez,es ESP,CC,16-266,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Toni Fernández,es ESP,CC,16-269,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Diego Kochen,us USA,PO,18-357,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Álex Valle,es ESP,DF,20-320,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Áron Yaakobishvili,hu HUN,PO,19-005,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
