Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
John Joe,ie IRL,"CC,DL",21-138,4,0,48,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,0,6,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Partidos
Gorka Rivera Alonso,es ESP,"DF,CC",20-222,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
David Argüelles,es ESP,CC,23-069,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Ismael Bekhoucha,ma MAR,CC,20-111,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jorge Benito,es ESP,PO,19-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Guillem Cortiñas,es ESP,DF,22-035,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Martin Cuellar,es ESP,,17-350,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Diego Ferrer,,PO,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Jiří Letáček,,PO,26-061,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Luca Lohr,es ESP,DF,22-204,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Djordjije Medenica,es ESP,PO,18-114,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
