Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Facundo Garcés,ar ARG,DF,25-187,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Adrian Rodriguez,es ESP,PO,24-089,1,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Luis Rioja,es ESP,DL,31-146,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.57,0.00,0.57,Partidos
Daouda Doumbia,ml MLI,CC,23-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Alejandro Jay Agustín,es ESP,CC,22-247,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Julen Lartitegi,es ESP,DL,21-163,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Egoitz Muñoz,es ESP,DF,20-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Eneko Ortiz,es ESP,CC,21-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Joaquín Panichelli,ar ARG,DL,22-155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Grégoire Swiderski,ca CAN,PO,19-157,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
