Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Iker Losada,es ESP,"CC,DL",23-222,10,3,336,3.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,9,14,16,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.21,0.13,0.21,Partidos
Assane Diao,es ESP,DL,19-185,10,2,277,3.1,1,2,3,1,0,0,0,0,0.8,0.8,1.5,2.3,9,1,27,0.32,0.65,0.97,0.32,0.97,0.26,0.50,0.75,0.26,0.75,Partidos
Juanmi,es ESP,"DL,CC",31-295,11,2,244,2.7,0,0,0,0,0,0,2,0,0.7,0.7,0.4,1.0,4,4,18,0.00,0.00,0.00,0.00,0.00,0.25,0.14,0.39,0.25,0.39,Partidos
Nabil Fekir,fr FRA,CC,31-236,2,2,180,2.0,0,1,1,0,0,0,0,0,0.7,0.7,0.5,1.2,9,10,18,0.00,0.50,0.50,0.00,0.50,0.34,0.26,0.61,0.34,0.61,Partidos
Carlos Guirao,es ESP,CC,21-318,2,2,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Mateo Flores,es ESP,CC,20-338,6,1,153,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Rodri,es ESP,DL,24-299,3,1,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,8,11,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.19,0.13,0.19,Partidos
Sergio Arribas,es ESP,DF,22-029,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Pablo Garcia,es ESP,DL,18-208,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Alcázar,es ESP,DF,22-243,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Pablo Busto,es ESP,DF,19-177,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Guilherme Fernandes,pt POR,PO,23-348,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Germán García,es ESP,PO,21-038,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Manu González,es ESP,PO,17-327,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Nobel Mendy,fr FRA,DF,20-189,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Xavi Pleguezuelo,es ESP,DF,22-056,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
